Empresa 1;Ativados;Conectados;Ativados 05-06 15:51;Conectados 05-06 15:51;Saldo
Empresa 2;80;79;80;78;1
Empresa 3;455;453;455;452;1
Empresa 4;41;38;41;38;0
Empresa 5;0;0;0;0;0
Empresa 6;91;91;91;91;0
Empresa 7;34;34;34;34;0
Empresa 8;25;25;25;25;0
Empresa 9;99;97;99;97;0
Empresa 10;26;25;26;25;0
Empresa 11;17;16;17;16;0
Empresa 12;29;24;29;24;0
Empresa 13;0;0;0;0;0
Empresa 14;1;0;1;0;0
Empresa 15;7;7;7;7;0
Empresa 16;5;5;5;5;0
Empresa 17;2;2;2;2;0
Empresa 18;5;5;5;5;0
Empresa 19;6;6;6;6;0
Empresa 20;0;0;0;0;0
Empresa 21;49;49;49;49;0
Empresa 22;0;0;0;0;0
Empresa 23;26;22;26;22;0
Empresa 24;10;10;10;10;0
Empresa 25;21;21;21;21;0
Empresa 26;21;21;21;21;0
Empresa 27;17;16;17;16;0
Empresa 28;68;68;68;68;0
Empresa 29;24;24;24;24;0
Empresa 30;0;0;0;0;0
Empresa 31;8;8;8;8;0
Empresa 32;0;0;0;0;0
Empresa 33;53;53;53;53;0
Empresa 34;23;22;23;22;0
Empresa 35;148;139;148;139;0
Empresa 36;30;28;30;28;0
Empresa 37;62;54;62;55;-1
Empresa 38;20;19;20;20;-1
Empresa 39;81;75;81;76;-1
Empresa 40;61;44;61;45;-1
Empresa 41;91;86;91;87;-1
Empresa 42;29;29;30;30;-1
Empresa 43;89;87;89;88;-1
Empresa 44;39;38;39;39;-1
Empresa 45;23;15;25;19;-4
Empresa 46;20;12;20;17;-5
Empresa 47;73;70;76;75;-5
Empresa 48;9;0;9;9;-9
Empresa 49;140;49;140;138;-89
